ซางตาครู้สคอนแวนท์,แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ซางตาครู้สศึกษา,แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ซินไตท้ง,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ซินหยกฮั้วกงฮัก,แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ซิกข์วิทยาลัย,ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,เขตพื้นที่การศึกษาสมุทรปราการ เขต 1
ซอและฮ์ศึกษา,ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110,เขตพื้นที่การศึกษานนทบุรี เขต 2
ซอย 3 สาย 4 ซ้าย,ต.โคกตูม อ.เมืองลพบุรี จ.ลพบุรี 15000,เขตพื้นที่การศึกษาลพบุรี เขต 1
ซอย 5 สาย 2 ซ้าย,ต.โคกตูม อ.เมืองลพบุรี จ.ลพบุรี 15210,เขตพื้นที่การศึกษาลพบุรี เขต 1
ซอย 7 สาย 4 ซ้าย,ต.โคกตูม อ.เมืองลพบุรี จ.ลพบุรี 15210,เขตพื้นที่การศึกษาลพบุรี เขต 1
ซอยพิเศษสาย 4 ซ้าย,ต.โคกตูม อ.เมืองลพบุรี จ.ลพบุรี 15210,เขตพื้นที่การศึกษาลพบุรี เขต 1
ซอย 16 สาย 3 ซ้าย,ต.พัฒนานิคม อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ซอย 17 สาย 2 ซ้าย,ต.พัฒนานิคม อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ซอย 26 สาย 4 ซ้าย,ต.มะนาวหวาน อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ซอย 12 สาย 4 ซ้าย,ต.ดีลัง อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ซอย 19 สาย 2 ขวา,ต.ชอนน้อย อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ซอย 20 สาย 4 ขวา,ต.ชอนน้อย อ.พัฒนานิคม จ.ลพบุรี 15140,เขตพื้นที่การศึกษาลพบุรี เขต 2
ซับน้อยเหนือวิทยาคม,ต.ลำพญากลาง อ.มวกเหล็ก จ.สระบุรี 18180,เขตพื้นที่การศึกษาสระบุรี เขต 2
ซับม่วงวิทยา,ต.โคคลาน อ.ตาพระยา จ.สระแก้ว 27180,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ซับนกแก้ววิทยา,ต.หนองน้ำใส อ.วัฒนานคร จ.สระแก้ว 27160,เขตพื้นที่การศึกษาสระแก้ว เขต 2
ซ่งแย้ทิพยา,ต.คำเตย อ.ไทยเจริญ จ.ยโสธร 35120,เขตพื้นที่การศึกษายโสธร เขต 2
ซับถาวรพัฒนา,ต.วะตะแบก อ.เทพสถิต จ.ชัยภูมิ 36230,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ซับมงคลวิทยา,ต.โป่งนก อ.เทพสถิต จ.ชัยภูมิ 36230,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ซับใหญ่วิทยาคม,ต.ซับใหญ่ อ.ซับใหญ่ จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ซำยางวิทยายน,ต.ซำยาง อ.สีชมพู จ.ขอนแก่น 40220,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ซู่เอ็ง,ต.เมืองพล อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ซำสูงพิทยาคม,ต.กระนวน อ.ซำสูง จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ซับสมบูรณ์พิทยาลัย,ต.ซับสมบูรณ์ อ.โคกโพธิ์ไชย จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ซ.วิทยา,ต.ในเมือง อ.เมืองร้อยเอ็ด จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
ซินจง,อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
ซับสมบูรณ์วิทยาคม,ต.ซับสมบูรณ์ อ.วิเชียรบุรี จ.เพชรบูรณ์ 67180,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ซับบอนวิทยาคม,ต.กันจุ อ.บึงสามพัน จ.เพชรบูรณ์ 67160,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3