ผดุงกิจวิทยา,แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ผะดุงศิษย์พิทยา,แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
ผ่องอำไพศึกษา,แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10500,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 3
ผ่องเพ็ญวิทยาดอนเมือง,แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
ผาสุกมณีจักร มิตรภาพที่ 116,ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120,เขตพื้นที่การศึกษานนทบุรี เขต 2
ผ่องสุวรรณวิทยา,ต.คูคต อ.ลำลูกกา จ.ปทุมธานี 12130,เขตพื้นที่การศึกษาปทุมธานี เขต 2
ผักไห่(สุทธาประมุข),ต.อมฤต อ.ผักไห่ จ.พระนครศรีอยุธยา 13120,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 2
ผู้รู้ (ญสส.80),ต.ห้วยใหญ่ อ.บางละมุง จ.ชลบุรี 20250,เขตพื้นที่การศึกษาชลบุรี เขต 3
ผินแจ่มวิชาสอน,ต.ห้วยใหญ่ อ.บางละมุง จ.ชลบุรี 20260,เขตพื้นที่การศึกษาชลบุรี เขต 18
ผาณิตวิทยา,ต.บางกรูด อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24140,เขตพื้นที่การศึกษาฉะเชิงเทรา เขต 1
ผะดุงศิษย์พิทยาประจันตคาม,ต.ประจันตคาม อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
ผ่านศึกสงเคราะห์,ต.พญาเย็น อ.ปากช่อง จ.นครราชสีมา 30320,เขตพื้นที่การศึกษานครราชสีมา เขต 4
ผาแดงวิทยา,ต.หัวงัว อ.สนม จ.สุรินทร์ 32160,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
ผักแพววิทยา,ต.ผักแพว อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ผักไหมวิทยานุกูล,ต.ผักไหม อ.ห้วยทับทัน จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ผอบ ณ นคร 2,ต.นาจะหลวย อ.นาจะหลวย จ.อุบลราชธานี 34280,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ผอบ ณ นคร 1,ต.สำโรง อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ผาขามวิทยายน,ต.บริบูรณ์ อ.สีชมพู จ.ขอนแก่น 40220,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ผ่านบางอนุสรณ์,ต.หนองแวงโสกพระ อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ผ่านศึกสงเคราะห์,ต.บ้านตาด อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ผาสุกประชานุกูล,ต.ผาสุก อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ผาน้อยวิทยาคม,ต.ผาน้อย อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
ผาอินทร์แปลงวิทยา,ต.ผาอินทร์แปลง อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
ผานาง-ผาเกิ้ง,ต.ผาอินทร์แปลง อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
ผาสามยอดวิทยาคม,ต.ผาสามยอด อ.เอราวัณ จ.เลย 42220,เขตพื้นที่การศึกษาเลย เขต 2
ผดุงนารี,ต.ตลาด อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ผาน้ำทิพย์วิทยา,ต.ผาน้ำย้อย อ.หนองพอก จ.ร้อยเอ็ด 45210,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ผาเสวยรังสรรค์,ต.ผาเสวย อ.สมเด็จ จ.กาฬสินธุ์ 46150,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
ผักแพวบำรุงวิทยา,ต.โนนหอม อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ผึ่งแดดวิทยาคาร,ต.ผึ่งแดด อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
ผาเทิบวิทยา,ต.บ้านแก้ง อ.ดอนตาล จ.มุกดาหาร 49120,เขตพื้นที่การศึกษามุกดาหาร เขต 1
ผดุงวิทย์ (วัดศรีบุญเรือง),ต.สบตุ๋ย อ.เมืองลำปาง จ.ลำปาง 52100,เขตพื้นที่การศึกษาลำปาง เขต 1
ผาแดงวิทยา,ต.บ้านร้อง อ.งาว จ.ลำปาง 52110,เขตพื้นที่การศึกษาลำปาง เขต 1
ผาช่อวิทยา,ต.แม่สุก อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
ผาปังวิทยา,ต.ผาปัง อ.แม่พริก จ.ลำปาง 52180,เขตพื้นที่การศึกษาลำปาง เขต 2
ผาเต่าพัฒนา,ต.ผาเลือด อ.ท่าปลา จ.อุตรดิตถ์ 53190,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
ผ่านศึกสงเคราะห์ ๒,ต.ท่าข้าวเปลือก อ.แม่จัน จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ผ่านศึกสงเคราะห์ ๑,ต.ปงน้อย อ.ดอยหลวง จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ผินสหราษฎร์พัฒนา,ต.นาบ่อคำ อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ผดุงปัญญา,ต.ไม้งาม อ.เมืองตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ผดุงราษฎร์,ต.ในเมือง อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ผดุงวิทยา,ต.ตลุกเทียม อ.พรหมพิราม จ.พิษณุโลก 65180,เขตพื้นที่การศึกษาพิษณุโลก เขต 3
ผดุงวิทย์,ต.หล่มสัก อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ผาแดงวิทยาคม,ต.ปากช่อง อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 40
ผาเมืองวิทยาคม,ต.หนองไขว่ อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ผังปาล์ม 1,อ.มะนัง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
ผังปาล์ม 2,อ.มะนัง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
ผังปาล์ม 3,อ.มะนัง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
ผังปาล์ม 4,อ.มะนัง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
ผังปาล์ม 7,อ.มะนัง จ.สตูล 91130,เขตพื้นที่การศึกษาสตูล เขต 1
ผดุงประชา,อ.เมืองยะลา จ.ยะลา 95000,เขตพื้นที่การศึกษายะลา เขต 1
ผดุงวิทย์,อ.สุไหงโก-ลก จ.นราธิวาส 96120,เขตพื้นที่การศึกษานราธิวาส เขต 2
ผดุงมาตร,อ.จะแนะ จ.นราธิวาส 96220,เขตพื้นที่การศึกษานราธิวาส เขต 3